Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,522,13247.71591194,0.407045559042629,-1.82960341159104,0.0544164319355365,7.0348919868712e-30,0.967478460037082
2000s,590,26606.4250531,0.201120177384682,-1.64480136493313,0.026395466238944,1.46786716550857e-44,0.988795539882346
2010s,424,27453.36000762,0.0673862925795324,-1.54129934995786,0.038678008556616,2.58748920237952e-37,0.971847927999962
2020s,174,30519.52014266,-0.335270661028542,-1.28093221926557,0.0358293713242302,2.82847555019948e-37,0.962352990697421
