Row,count,area,alfa,beta,betaErr,pBeta,R2,Prob_500,Prob_5000
<100 km^2,114,2088.61608796708,-0.596397268750403,-1.12127306224265,0.0689495788076384,3.63275399456116e-18,0.880183608698388,0,0
<1000 km^2,149,14451.8742907303,-0.720617334926295,-1.11058579354993,0.0360686047857024,6.24558870900767e-36,0.946112152136076,0.00019140131668398,0
Full size,156,29937.2808259772,-0.723588420767613,-1.12661411446749,0.0291120314432163,3.88946044795316e-44,0.961480010720811,0.000172073454599785,1.28558194170281e-05
