Row,count,area,alfa,beta,betaErr,pBeta,R2
CalFire,1911,29327.1326517602,-0.125554776006026,-1.69675692376259,0.0228474787347123,1.87631270220701e-54,0.990659608003249
MTBS,979,28481.42432202,0.383263159226609,-1.79608262755307,0.0301916382933492,1.16549740440454e-40,0.988823660741497
Atlas,6759,30729.4100000001,-0.331080943695177,-1.89900384394379,0.0265563707834333,5.95093236833941e-56,0.989358517231917
FIRED,10519,28371.6515082678,-0.542279435599006,-1.92585807690919,0.0277028102320238,4.78482301872087e-56,0.988545300556755
