Row,count,area,alfa,beta,betaErr,pBeta,R2,Prob_500,Prob_5000
<100 km^2,430,4296.84890356359,-0.258819569048713,-1.52675911120957,0.0538917859984523,3.69379881365511e-27,0.954793869863233,0,0
<1000 km^2,446,7867.95840583073,-0.277744914464076,-1.52374643358702,0.0368038213117254,1.22323358180786e-38,0.973312339159467,4.07107559769689e-05,0
Full size,447,9144.78927472073,-0.290426132295536,-1.51145484772825,0.0346492477843021,2.81000917382781e-40,0.975395239897476,4.26778537450386e-05,1.31446105421963e-06
