Row,count,area,alfa,beta,betaErr,pBeta,R2,Prob_500,Prob_5000
<100 km^2,637,5805.78961340132,-0.201841373186008,-1.59103771133173,0.0403021758720349,1.8616144606723e-32,0.97619778064613,0,0
<1000 km^2,652,9273.13242442104,-0.206981820647364,-1.60242821736089,0.0304241421352713,9.09924977874134e-43,0.983688461563857,2.9384106310102e-05,0
Full size,653,11300.9412534054,-0.229689137149502,-1.57960567043925,0.0290174978010272,4.10946639285765e-44,0.984387002826016,3.21367933145505e-05,8.46051635264798e-07
