Row,count,area,alfa,beta,betaErr,pBeta,R2
1990s,560,5005.58643638453,-0.110694820980692,-1.75431951640849,0.0396784229705168,1.75697612344057e-37,0.978476627229727
2000s,653,11300.9412534054,-0.229689137149502,-1.57960567043925,0.0290174978010272,4.10946639285765e-44,0.984387002826016
2010s,447,9144.78927472073,-0.290426132295536,-1.51145484772825,0.0346492477843021,2.81000917382781e-40,0.975395239897476
2020s,251,3875.81568724956,-0.321019529213843,-1.49893721821061,0.0553112317989796,3.12991813745053e-28,0.945905063504488
