Row,count,area,alfa,beta,betaErr,pBeta,R2,Prob_500,Prob_5000
<100 km^2,251,3509.22699142154,-0.412744329027881,-1.32099893537912,0.0505699486377919,6.96126940898578e-26,0.9472493284877,0,0
<1000 km^2,297,14488.5638262074,-0.509816592192739,-1.2791841680196,0.0342779023098952,9.93827587676704e-40,0.963337940592193,0.000109069596957816,0
Full size,300,18325.6705196899,-0.496999577072786,-1.29635336418324,0.0303793587942114,2.11384357287244e-44,0.970163800593173,0.000100967494166307,5.10303108450513e-06
