ndviM,elevation,slope,vs,vd,ppt,tmean,vpdmax,tmin,tmax,ignition
NaN,1695.18524070337,20.1489052978449,1.7000000477,74,488.4050002717,23.0962512493134,32.4549996852875,16.2584997415543,29.9353747367859,0
NaN,421.421616358325,22.1497253050696,4.6427618965,344.6381092096,1155.7059981587,22.876876115799,36.7878746986389,13.3456250429153,32.4087498188019,NaN
NaN,1153.04858721718,18.4139983221452,2.5561196156,315.3689229631,491.4914189524,27.8902374586485,50.2326069221092,19.5084121090722,36.2733156160167,0
NaN,659.914117107826,29.4178033110471,4.6394971911,338,1415.7046388376,23.1126964173649,30.8097424004108,16.7867605462093,29.4396828232909,NaN
NaN,470.08516833485,17.2391894131239,2.2000000477,263,698.7085141637,31.4302664709693,67.4733870797176,21.6151180892492,41.2465928060564,0
NaN,2399.31210954755,24.4451586363924,1.5942664616,322.8855526351,416.8073515588,16.8815170262512,20.0409146996927,9.45067893143097,24.3131137738243,0
NaN,746.459342340046,20.5305863984296,4.5607290833,342.4567833511,1393.0531279737,24.4964730533485,35.8527702045133,17.4985373297994,31.4954020112397,NaN
NaN,897.93625498008,26.24829303521,2.7548067278,178.9236051181,443.2584149026,19.0863195258414,26.5059156417737,10.0441937112766,28.1290341464354,1
NaN,1821.86387127085,17.3724765819908,1.7999999523,316,430.945589859,22.6429492736872,38.6240631676147,13.2283133366088,32.0590032334763,0
NaN,306.31255295969,20.8809712747803,3.7267553106,330.4630690011,817.1381425882,22.4574840173496,41.9203333470949,11.3268424214875,33.5893599466605,NaN
NaN,696.076934117985,22.0224324193339,3.9829407921,339,888.867546674,25.064882671576,45.30035620359,14.7428358580571,35.3885695544391,NaN
NaN,2029.46638388123,9.37814835191152,2.1859598035,208.8047954588,524.9159997599,20.3487510681152,25.9377498626709,14.0555000305176,26.6422500610352,0
NaN,1180.48307615729,18.4252105931134,2.7000000477,217,423.8973846957,25.2862810578096,51.129292746206,14.1416914432964,36.4319224473033,0
NaN,414.622239146992,21.1316045869211,3.0490625432,250,428.1900366256,22.3010205289786,35.8226992218495,13.4361418200296,31.1668534975286,NaN
NaN,1542.70740740741,13.3059538962664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,1163.44742729306,20.6468596456721,2.7999999523,274,1063.698604218,30.4176551157468,55.2113148090712,23.0655737347316,37.7704158148583,0
NaN,1643.90138522427,10.2439460445461,3.9000000954,250,228.3777801809,16.6430714660594,31.2295376318307,5.35735411807438,27.9299582493868,1
NaN,1182.64244810308,20.4635127285761,2.9000000954,283,972.258742862,22.8698054316835,40.8831574919779,13.6174878861314,32.1231129433402,0
NaN,1023.89543269231,29.1574381159093,2.9150664653,306,569.196997502,28.4302515983582,52.5590000152588,19.7770004272461,37.0845003128052,0
NaN,82.4797327394209,7.96017205358083,4.278064667,296,466.6029944923,18.6870012283325,20.7527499198914,10.4522500038147,26.9225001335144,NaN
NaN,1713.11676486342,19.956256064107,4,278,378.6170056413,17.8890732585731,28.8878361014253,8.20334053285937,27.5762513067022,1
NaN,168.585325047801,14.5064334567017,3.3510672169,45,175.6370667981,18.2876856155159,20.6532088897322,10.9024315775658,25.6739753342527,NaN
NaN,1154.34437086093,24.3808014059961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1526.42566619916,13.8369632120261,1.8999999762,254,282.1600007415,15.3300004005432,22.0724997520447,8.15350008010864,22.5077500343323,NaN
NaN,795.415640619286,18.2436246110705,4.2840525269,85.8146349182,776.8513123696,19.1107644960238,23.4373643532258,10.8884829454593,27.3339563532324,NaN
NaN,1956.79532948598,11.606665773018,2.2999999523,213,843.7151384729,21.5701031067338,27.7933424658723,15.5293689763403,27.6119762445453,0
NaN,1560.05199025183,19.9373333259775,2.5,338,528.9130892166,4.03992535429881,8.98911286045831,-1.37770787405441,9.45850043185562,1
NaN,2152.63912543153,22.4507134962685,2.8977529942,258,820.9261521661,16.7064147055543,22.3688234240389,9.17761901159036,24.2359658119174,0
NaN,2034.74449339207,21.1916176439239,2.5,220,890.9619336783,18.273432993536,23.9196583794058,11.5023116259004,25.0455852965053,0
NaN,995.14953271028,27.0750477045157,2.3909228737,334.1568840146,785.6519980058,24.5530014038086,47.4402503967285,14.7502501010895,34.3567485809326,0
NaN,940.438903863432,21.2548331950606,3.3048734472,188.8537953622,638.2600000853,23.0460014343262,48.1597499847412,9.74475002288818,36.3487491607666,1
NaN,1382.31575562701,8.3424092669579,2,226,430.9428759302,20.4498710753282,34.2755779536444,10.5964145088475,30.3038520369371,NaN
NaN,471.129189944134,21.3427960408966,4.0735460703,94,730.1858156638,19.2205756886389,25.4459333369622,10.06131928964,28.3805804898182,NaN
NaN,1037.33290107447,16.5976951905345,3.8812155213,122,642.8498469121,20.9406818560814,29.9740256041889,13.81530034224,28.067351884902,1
NaN,2014.51536394439,23.9126471122412,2.7000614956,225.9938552036,636.1077481184,18.0493442797605,24.1857426868644,11.2935539511247,24.8058890293656,1
NaN,1918.32263294423,21.9457414323408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1471.67579908676,17.8938742263676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1065.80111623555,18.0688139738927,2.7185716043,251,754.1624629221,26.14520538983,51.7306840333981,16.0728898181947,36.2188060356528,1
NaN,565.279334000286,15.4625482653867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,1338.96390221613,14.6983131878393,2.9963632225,288.994699007,313.5009089573,19.4565395968367,27.5473929189891,11.0814560528046,27.8325016710534,1
NaN,319.438424947146,2.60549768484168,4.8429956098,170,579.2689697194,28.1026653629687,41.6330649778159,20.0571496818102,36.1488090977102,0
NaN,1037.18396485448,25.6700586257548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,1133.57160120846,25.5363197161832,2.8958527524,342,303.7186191593,21.943743920428,36.9779246045093,11.7089372954967,32.1794399241111,NaN
NaN,174.172065628944,15.665726271782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,893.597191750768,18.7451961677343,3.0279625315,219.2912007101,732.1090016136,28.4215016365051,52.2997493743896,19.0377497673035,37.8064994812012,1
NaN,2702.28762243989,18.4520513988118,1.7612844391,36,367.8707840091,10.2818853788305,4.67673292254783,5.28177156633877,15.282893780624,0
NaN,2406.52311015119,9.84698756176246,2.4000000954,58,813.9474688735,18.500357925634,24.6037291769761,11.0620302790677,25.9394344679688,0
NaN,1308.56697009103,15.1635138110831,2.9669572532,288.3391444347,305.2149996002,19.8697504997253,28.9700002670288,11.1297500133514,28.6105003356934,NaN
NaN,1464.8156614786,7.35983135570058,3.2999999523,151,428.7179998815,19.3987512588501,31.6180000305176,10.2057501077652,28.5927500724792,1
NaN,917.754931261207,27.1677254607274,2.7999999523,28,1177.6164175062,22.6587853214422,35.1114697552248,13.6504514709836,31.6676407789058,0
NaN,2824.4731610338,21.0286225091945,2.0904689715,95,527.7570000308,8.78000044822693,4.91649997234345,3.29975003004074,14.2612500190735,0
NaN,552.817333333333,12.4476792201996,2.2000000477,142,589.9556677992,25.7079709588103,48.3977606830759,15.0194124031449,36.3972777714425,NaN
NaN,1989.09929078014,22.946749203594,3.2252972575,34.095114856,681.11500411,16.3970007896423,19.5625004768372,9.0017501115799,23.7934999465942,0
NaN,471.043808411215,19.1874908519172,2.9000000954,228.2735725269,743.8768278095,17.9905681240326,14.1026377833347,12.4814854445503,23.5006507979135,NaN
