Row,count,area,xmin,beta,betaErr,PDF_at_500,PDF_at_5000
Urban-edge,1186,53631.3962297584,0.214658673296478,-1.39448691281227,0.0114548723913003,3.70456958087416e-05,1.49365687950352e-06
Wildland,10519,28371.6515082678,0.214658673296478,-2.10297266602556,0.0107541854726918,4.26227435018745e-07,3.36254987341252e-09
