Row,count,area,xmin,beta,betaErr,PDF_at_500,PDF_at_5000
Urban-edge,1041,49323.65,0.21,-1.30128324895593,0.00933790865460406,5.78957330268433e-05,2.89309908549018e-06
Wildland,6759,30729.4100000001,0.21,-1.66441789785935,0.00808165114435725,7.58398927917991e-06,1.64240331352812e-07
