Row,count,area,xmin,beta,betaErr,PDF_at_500,PDF_at_5000
Urban-edge,1113,71147.2315186757,1.00178797881378,-1.43670066665295,0.0130898983107349,5.79309499020578e-05,2.11938561885475e-06
Wildland,1911,29327.1326517602,1.00062905137726,-1.65778392147585,0.0150471035640854,2.20776996953138e-05,4.85478386880979e-07
