Row,count,area,xmin,beta,betaErr,PDF_at_500,PDF_at_5000
Urban-edge,731,69345.5967933,4.05090686,-1.54306670685467,0.0200860477296569,7.94518156497413e-05,2.27529189292941e-06
Wildland,979,28481.42432202,4.05900058,-1.87352439993829,0.0279179608969032,2.60710080436142e-05,3.48845739849416e-07
