Dataset,Beta_MLE_Urban,Beta_MLE_Wild,Alpha_Diff,CI_2_5,CI_97_5,P_Value
CalFire,-1.43670066665295,-1.65778392147585,0.2210832548229,0.189249551669103,0.253371931764559,0
MTBS,-1.54306670685467,-1.87352439993829,0.330457693083622,0.275155180138852,0.388551358357577,0
Atlas,-1.30128324895593,-1.66441789785935,0.363134648903419,0.34326488896074,0.382052787987601,0
FIRED,-1.39448691281227,-2.10297266602556,0.708485753213289,0.672818824262102,0.741902492667301,0
