binCenter,probDensity
0.025,-0.442724603467892
0.0750000000000001,-0.860701388762487
0.125,-0.542724603467893
0.175,-0.624909286839294
0.225,-1.01070138876248
0.275,-0.797459953987905
0.325,-0.88885263914613
0.375,-0.938852639146131
0.425,-1.08576265215419
0.475,-0.997459953987904
0.525,-1.24375459913187
0.575,-1.23576265215419
0.625,-1.18885263914613
0.675,-1.33576265215419
0.725,-1.3346101297068
0.775,-1.56070138876249
0.825,-1.48576265215419
0.875,-1.39745995398791
0.925,-1.64375459913187
0.975,-1.69375459913187
1.025,-1.98679264781817
1.075,-1.6846101297068
1.125,-1.98988263481011
1.175,-1.96070138876249
1.225,-1.78885263914613
1.275,-2.13988263481011
1.325,-2.58782264348215
1.375,-2.33679264781817
1.425,-2.14375459913187
1.475,-2.43679264781817
1.525,-2.38988263481011
1.575,-2.36070138876249
1.625,-2.48988263481011
1.675,-2.53988263481011
1.725,-2.58988263481011
1.775,-2.73679264781817
1.825,-2.91173138442647
1.875,-2.96173138442647
1.925,-3.48885263914613
1.975,-3.06173138442647
2.025,-2.88988263481011
2.075,-3.16173138442647
2.125,-3.38782264348215
2.175,-3.13679264781817
2.225,-3.78885263914613
2.275,-3.83885263914613
2.325,-3.41173138442647
2.375,-3.23988263481011
2.425,-3.51173138442647
2.475,-4.03885263914613
2.525,-4.08885263914613
2.575,-3.83782264348215
2.625,-4.18885263914613
2.775,-4.33885263914613
2.825,-3.78679264781817
3.025,-4.58885263914613
