x_fit,y_fit
4.05900058,0.21520676893776
24.2648908052525,0.00755010976738473
44.4707810305051,0.00242680963994527
64.6766712557576,0.0012029956549465
84.8825614810101,0.000722862178616815
105.088451706263,0.000484519628183455
125.294341931515,0.00034851237424627
145.500232156768,0.000263369871273992
165.70612238202,0.000206423457259529
185.912012607273,0.000166395316622969
206.117902832525,0.000137148709365993
226.323793057778,0.000115106400174575
246.52968328303,9.80660404660074e-05
266.735573508283,8.4610087580759e-05
286.941463733535,7.37918241478002e-05
307.147353958788,6.49589656930603e-05
327.35324418404,5.76499483793124e-05
347.559134409293,5.15305405320326e-05
367.765024634545,4.63537838827579e-05
387.970914859798,4.19339305834636e-05
408.176805085051,3.81290465608305e-05
428.382695310303,3.48291330735189e-05
448.588585535556,3.19478501622815e-05
468.794475760808,2.9416643908231e-05
489.000365986061,2.71805102880515e-05
509.206256211313,2.51948936020677e-05
529.412146436566,2.34233844800618e-05
549.618036661818,2.18359899038884e-05
569.823926887071,2.04078181231982e-05
590.029817112323,1.91180683378933e-05
610.235707337576,1.79492468878882e-05
630.441597562828,1.68865536220123e-05
650.647487788081,1.5917397420365e-05
670.853378013333,1.50310106589455e-05
691.059268238586,1.42181401395823e-05
711.265158463838,1.34707976011612e-05
731.471048689091,1.27820570149018e-05
751.676938914344,1.21458888817963e-05
771.882829139596,1.15570239956037e-05
792.088719364849,1.10108408211141e-05
812.294609590101,1.05032719142209e-05
832.500499815354,1.00307257845523e-05
852.706390040606,9.59002135013525e-06
872.912280265859,9.17833271296687e-06
893.118170491111,8.79314243566112e-06
913.324060716364,8.43220185304245e-06
933.529950941616,8.09349723140893e-06
953.735841166869,7.77522080926542e-06
973.941731392121,7.47574592954341e-06
994.147621617374,7.19360561450088e-06
1014.35351184263,6.92747404815465e-06
1034.55940206788,6.67615052303145e-06
1054.76529229313,6.43854548271857e-06
1074.97118251838,6.21366835264424e-06
1095.17707274364,6.00061690145613e-06
1115.38296296889,5.79856791644499e-06
1135.58885319414,5.60676901038026e-06
1155.79474341939,5.4245314052345e-06
1176.00063364465,5.25122356165215e-06
1196.2065238699,5.08626554252698e-06
1216.41241409515,4.92912401538535e-06
1236.6183043204,4.77930781198973e-06
1256.82419454566,4.63636397513267e-06
1277.03008477091,4.49987423235386e-06
1297.23597499616,4.36945184458555e-06
1317.44186522141,4.24473878475904e-06
1337.64775544667,4.12540320739194e-06
1357.85364567192,4.01113717528908e-06
1378.05953589717,3.9016546138674e-06
1398.26542612242,3.79668946737228e-06
1418.47131634768,3.695994034485e-06
1438.67720657293,3.59933746360735e-06
1458.88309679818,3.50650439051765e-06
1479.08898702343,3.41729370317721e-06
1499.29487724869,3.33151742027597e-06
1519.50076747394,3.2489996716788e-06
1539.70665769919,3.16957577030494e-06
1559.91254792444,3.09309136616883e-06
1580.1184381497,3.01940167435702e-06
1600.32432837495,2.94837076963215e-06
1620.5302186002,2.879870941159e-06
1640.73610882545,2.81378210155493e-06
1660.94199905071,2.74999124508915e-06
1681.14788927596,2.68839195040466e-06
1701.35377950121,2.62888392362124e-06
1721.55966972646,2.57137257810744e-06
1741.76555995172,2.51576864758922e-06
1761.97145017697,2.46198782960071e-06
1782.17734040222,2.40995045658179e-06
1802.38323062747,2.3595811921946e-06
1822.58912085273,2.31080875066818e-06
1842.79501107798,2.26356563719294e-06
1863.00090130323,2.21778790757602e-06
1883.20679152848,2.17341494553806e-06
1903.41268175374,2.1303892561838e-06
1923.61857197899,2.08865627431513e-06
1943.82446220424,2.04816418637732e-06
1964.0303524295,2.00886376493913e-06
1984.23624265475,1.97070821470645e-06
2004.44213288,1.93365302915807e-06
