binCenter,probDensity
0.105925372517729,0
0.118850222743702,0
0.133352143216332,0
0.149623565609443,0
0.167880401812256,0
0.18836490894898,0
0.211348903983665,12.2278091475077
0.237137370566166,0
0.266072505979881,0
0.298538261891796,0
0.334965439157828,0
0.375837404288444,0
0.421696503428582,2.3706943607242
0.473151258961481,0
0.530884444230988,0
0.59566214352901,0
0.668343917568615,0.580462425057229
0.749894209332456,0
0.841395141645195,0.69871004310491
0.944060876285924,0
1.05925372517729,0.270459345440967
1.18850222743702,0
1.33352143216332,0.252876925733909
1.49623565609443,0.153575339748139
1.67880401812256,0.120875886525743
1.8836490894898,0.102977920178648
2.11348903983665,0.064951411176138
2.37137370566166,0.0629217458085255
2.66072505979881,0.0829970161716751
2.98538261891796,0.0409840258045622
3.34965439157828,0.0552360290171327
3.75837404288444,0.0412889751512213
4.21696503428582,0.0261837884617299
4.73151258961481,0.0346891332884507
5.30884444230988,0.0247333780691027
5.95662143529011,0.0170337267692806
6.68343917568615,0.0160743440785079
7.49894209332456,0.0155201304265093
8.41395141645195,0.00815752842203702
9.44060876285924,0.00790261397716655
10.5925372517729,0.00788839757536149
11.8850222743702,0.00502181552815211
13.3352143216332,0.0049232675806602
14.9623565609443,0.00458731534312622
16.7880401812256,0.0037329317897656
18.836490894898,0.00253484111208978
21.1348903983665,0.00324757055880691
23.7137370566166,0.00276855681557512
26.6072505979881,0.00179453007938758
29.8538261891796,0.00169933765531111
33.4965439157828,0.0012472651713546
37.5837404288444,0.00103222437878054
42.1696503428582,0.00049536897089759
47.3151258961481,0.000378426908601282
53.0884444230988,0.000786971120380541
59.5662143529011,0.000200396785520947
66.8343917568615,0.000491160513509965
74.9894209332456,0.00027856644355273
84.1395141645196,0.000283740119027376
94.4060876285924,0.000189662735451997
105.925372517729,0.000197209939384039
118.850222743702,0.000100436310563042
133.352143216332,0.000111892445015004
149.623565609443,9.97242465897013e-05
167.880401812256,5.33275969966509e-05
188.36490894898,4.75282708516839e-05
211.348903983665,0
237.137370566165,2.51686983234101e-05
266.072505979881,2.24316259923447e-05
298.538261891796,2.99883115643136e-05
334.965439157828,2.67271108147417e-05
375.837404288444,1.58803750581621e-05
421.696503428582,1.41533991685026e-05
473.15125896148,0
530.884444230988,0
595.66214352901,5.00991963802372e-06
668.343917568615,0
749.894209332456,0
841.395141645195,7.09350297568441e-06
944.060876285923,0
1059.25372517729,2.81728484834342e-06
1188.50222743702,0
1333.52143216332,0
1496.23565609443,1.99448493179401e-06
1678.80401812256,0
1883.6490894898,0
2113.48903983665,0
2371.37370566165,0
2660.72505979881,0
2985.38261891796,0
3349.65439157828,0
3758.37404288444,0
4216.96503428582,0
4731.51258961481,0
5308.84444230988,0
5956.6214352901,0
6683.43917568614,0
7498.94209332455,0
8413.95141645195,0
9440.60876285924,0
10592.5372517729,0
11885.0222743702,0
13335.2143216332,0
14962.3565609443,0
16788.0401812256,0
18836.490894898,0
21134.8903983665,0
23713.7370566166,0
26607.2505979881,0
29853.8261891796,0
33496.5439157828,0
37583.7404288444,0
42169.6503428582,0
47315.1258961481,0
53088.4444230989,0
59566.214352901,0
66834.3917568614,0
74989.4209332456,0
84139.5141645196,0
94406.0876285924,0
