binCenter,probDensity
-0.675,1.12336557652232
-0.375,0.40672043421286
-0.175,-0.136186409961502
-0.075,-0.117960241016269
0.025,-0.458468902926062
0.125,-0.603051035578802
0.175,-0.795284027373516
0.225,-0.824094728303576
0.275,-1.02752200272332
0.325,-1.16713277698987
0.375,-1.12022276398182
0.425,-1.05074692307502
0.475,-1.45430597001518
0.525,-1.35817793433695
0.575,-1.39940401002944
0.625,-1.5463140230375
0.675,-1.49080383826752
0.725,-1.7168950973232
0.775,-1.80701232053119
0.825,-1.85701232053119
0.875,-1.81859041774865
0.925,-2.24425403170954
0.975,-2.15595133354325
1.025,-2.29310150926216
1.075,-2.55698132920723
1.125,-2.36962041341263
1.175,-2.55224597868722
1.225,-2.51792509298718
1.275,-2.59425403170954
1.325,-3.0032759743512
1.375,-2.78443066205862
1.425,-3.24940401002944
1.475,-2.95698132920723
1.525,-3.09413150492614
1.575,-3.39940401002944
1.625,-3.44940401002944
1.675,-3.3532759743512
1.725,-3.54940401002944
1.775,-3.8212527596458
1.825,-3.64940401002944
1.925,-3.9712527596458
2.075,-4.59837401436546
2.125,-4.64837401436546
2.175,-4.69837401436546
2.225,-4.74837401436546
2.275,-4.79837401436546
2.375,-4.89837401436546
2.475,-4.99837401436546
2.525,-5.04837401436546
2.575,-5.09837401436546
2.975,-5.49837401436546
