x_fit,y_fit
4.05090686,0.134060526598894
47.6998074141414,0.00298353722536586
91.3487079682828,0.00109471223811063
134.997608522424,0.000599182804777899
178.646509076566,0.000388881061168999
222.295409630707,0.000277539162292908
265.944310184849,0.000210465433227407
309.59321073899,0.000166470489345139
353.242111293131,0.000135815327369563
396.891011847273,0.000113467496660522
440.539912401414,9.65937335791736e-05
484.188812955556,8.349062518472e-05
527.837713509697,7.30793759288172e-05
571.486614063838,6.46472889925356e-05
615.13551461798,5.77067468867203e-05
658.784415172121,5.19141342443641e-05
702.433315726263,4.70211257993662e-05
746.082216280404,4.28443036150134e-05
789.731116834546,3.92455859594614e-05
833.380017388687,3.61192617997317e-05
877.028917942828,3.33831869926623e-05
920.67781849697,3.09726743397256e-05
964.326719051111,2.88361697703513e-05
1007.97561960525,2.69321385022392e-05
1051.62452015939,2.52267868675167e-05
1095.27342071354,2.3692371464001e-05
1138.92232126768,2.23059277025925e-05
1182.57122182182,2.1048302212615e-05
1226.22012237596,1.9903408343733e-05
1269.8690229301,1.88576474853864e-05
1313.51792348424,1.78994550314082e-05
1357.16682403838,1.70189410263423e-05
1400.81572459253,1.62076034355199e-05
1444.46462514667,1.54580976264471e-05
1488.11352570081,1.47640497275225e-05
1531.76242625495,1.41199045084821e-05
1575.41132680909,1.35208006240632e-05
1619.06022736323,1.29624676985403e-05
1662.70912791737,1.24411409581103e-05
1706.35802847152,1.19534900495066e-05
1750.00692902566,1.14965593944919e-05
1793.6558295798,1.10677179771106e-05
1837.30473013394,1.06646168845728e-05
1880.95363068808,1.028515325336e-05
1924.60253124222,9.92743953173542e-06
1968.25143179636,9.58977717484309e-06
2011.90033235051,9.27063405139308e-06
2055.54923290465,8.96862497095154e-06
2099.19813345879,8.68249484522249e-06
2142.84703401293,8.41110408090604e-06
2186.49593456707,8.15341586996534e-06
2230.14483512121,7.90848509870385e-06
2273.79373567535,7.67544864249938e-06
2317.44263622949,7.45351685036041e-06
2361.09153678364,7.24196605423993e-06
2404.74043733778,7.04013196350839e-06
2448.38933789192,6.84740382614321e-06
2492.03823844606,6.66321925582875e-06
2535.6871390002,6.48705963891442e-06
2579.33603955434,6.31844604756048e-06
2622.98494010848,6.15693559582585e-06
2666.63384066263,6.00211818425653e-06
2710.28274121677,5.85361358598959e-06
2753.93164177091,5.71106883372217e-06
2797.58054232505,5.57415587228945e-06
2841.22944287919,5.44256944620322e-06
2884.87834343333,5.31602519544774e-06
2928.52724398748,5.19425793621521e-06
2972.17614454162,5.07702010617754e-06
3015.82504509576,4.96408035640287e-06
3059.4739456499,4.85522227419823e-06
3103.12284620404,4.75024322304048e-06
3146.77174675818,4.64895328739176e-06
3190.42064731232,4.55117431161624e-06
3234.06954786646,4.45673902345387e-06
3277.71844842061,4.36549023358865e-06
3321.36734897475,4.27728010379544e-06
3365.01624952889,4.19196947697931e-06
3408.66515008303,4.10942726315042e-06
3452.31405063717,4.02952987601828e-06
3495.96295119131,3.95216071545461e-06
3539.61185174545,3.87720969157269e-06
3583.2607522996,3.80457278661214e-06
3626.90965285374,3.73415165120851e-06
3670.55855340788,3.66585323197354e-06
3714.20745396202,3.59958942761955e-06
3757.85635451616,3.535276771135e-06
3801.5052550703,3.4728361357621e-06
3845.15415562444,3.41219246274474e-06
3888.80305617859,3.35327450900925e-06
3932.45195673273,3.29601461311422e-06
3976.10085728687,3.24034847796113e-06
4019.74975784101,3.18621496889707e-06
4063.39865839515,3.13355592596604e-06
4107.04755894929,3.08231598917788e-06
4150.69645950344,3.03244243576535e-06
4194.34536005758,2.98388502849083e-06
4237.99426061172,2.93659587414673e-06
4281.64316116586,2.89052929146792e-06
4325.29206172,2.84564168774176e-06
