x_fit,y_fit
-0.675,0.906160390610353
-0.638131313131313,0.836770756957245
-0.601262626262626,0.767381123304136
-0.564393939393939,0.697991489651027
-0.527525252525253,0.628601855997918
-0.490656565656566,0.55921222234481
-0.453787878787879,0.489822588691701
-0.416919191919192,0.420432955038592
-0.380050505050505,0.351043321385483
-0.343181818181818,0.281653687732375
-0.306313131313131,0.212264054079266
-0.269444444444444,0.142874420426157
-0.232575757575758,0.0734847867730484
-0.195707070707071,0.00409515311993963
-0.158838383838384,-0.0652944805331692
-0.121969696969697,-0.134684114186278
-0.0851010101010101,-0.204073747839387
-0.0482323232323233,-0.273463381492495
-0.0113636363636365,-0.342853015145604
0.0255050505050505,-0.412242648798713
0.0623737373737373,-0.481632282451821
0.0992424242424242,-0.55102191610493
0.136111111111111,-0.620411549758039
0.172979797979798,-0.689801183411148
0.209848484848485,-0.759190817064257
0.246717171717172,-0.828580450717365
0.283585858585859,-0.897970084370474
0.320454545454545,-0.967359718023583
0.357323232323232,-1.03674935167669
0.394191919191919,-1.1061389853298
0.431060606060606,-1.17552861898291
0.467929292929293,-1.24491825263602
0.50479797979798,-1.31430788628913
0.541666666666667,-1.38369751994224
0.578535353535353,-1.45308715359534
0.61540404040404,-1.52247678724845
0.652272727272727,-1.59186642090156
0.689141414141414,-1.66125605455467
0.726010101010101,-1.73064568820778
0.762878787878788,-1.80003532186089
0.799747474747475,-1.869424955514
0.836616161616161,-1.9388145891671
0.873484848484848,-2.00820422282021
0.910353535353535,-2.07759385647332
0.947222222222222,-2.14698349012643
0.984090909090909,-2.21637312377954
1.0209595959596,-2.28576275743265
1.05782828282828,-2.35515239108576
1.09469696969697,-2.42454202473887
1.13156565656566,-2.49393165839197
1.16843434343434,-2.56332129204508
1.20530303030303,-2.63271092569819
1.24217171717172,-2.7021005593513
1.2790404040404,-2.77149019300441
1.31590909090909,-2.84087982665752
1.35277777777778,-2.91026946031063
1.38964646464646,-2.97965909396374
1.42651515151515,-3.04904872761685
1.46338383838384,-3.11843836126995
1.50025252525253,-3.18782799492306
1.53712121212121,-3.25721762857617
1.5739898989899,-3.32660726222928
1.61085858585859,-3.39599689588239
1.64772727272727,-3.4653865295355
1.68459595959596,-3.53477616318861
1.72146464646465,-3.60416579684171
1.75833333333333,-3.67355543049482
1.79520202020202,-3.74294506414793
1.83207070707071,-3.81233469780104
1.86893939393939,-3.88172433145415
1.90580808080808,-3.95111396510726
1.94267676767677,-4.02050359876037
1.97954545454545,-4.08989323241348
2.01641414141414,-4.15928286606658
2.05328282828283,-4.22867249971969
2.09015151515151,-4.2980621333728
2.1270202020202,-4.36745176702591
2.16388888888889,-4.43684140067902
2.20075757575758,-4.50623103433213
2.23762626262626,-4.57562066798524
2.27449494949495,-4.64501030163835
2.31136363636364,-4.71439993529146
2.34823232323232,-4.78378956894456
2.38510101010101,-4.85317920259767
2.4219696969697,-4.92256883625078
2.45883838383838,-4.99195846990389
2.49570707070707,-5.061348103557
2.53257575757576,-5.13073773721011
2.56944444444444,-5.20012737086321
2.60631313131313,-5.26951700451632
2.64318181818182,-5.33890663816943
2.68005050505051,-5.40829627182254
2.71691919191919,-5.47768590547565
2.75378787878788,-5.54707553912876
2.79065656565657,-5.61646517278187
2.82752525252525,-5.68585480643498
2.86439393939394,-5.75524444008809
2.90126262626263,-5.82463407374119
2.93813131313131,-5.8940237073943
2.975,-5.96341334104741
