binCenter,probDensity
-0.675,1.04080386561233
-0.375,0.132403696253347
-0.175,-0.394955238132984
-0.075,-0.356652539966703
0.025,-0.652947185110671
0.125,-0.995985233796966
0.175,-1.34701522946095
0.225,-0.999075220788907
0.275,-1.27092397040527
0.325,-1.09907522078891
0.375,-1.37092397040527
0.425,-0.943802715685603
0.475,-1.64701522946095
0.525,-1.99804522512493
0.575,-1.74701522946095
0.625,-1.62092397040527
0.675,-1.24495523813298
0.725,-2.19804522512493
0.775,-1.64598523379697
0.875,-1.87092397040527
0.925,-1.79598523379697
0.975,-1.97092397040526
1.025,-2.49804522512493
1.075,-2.07092397040526
1.125,-2.29701522946094
1.225,-1.91989397474128
1.275,-2.14598523379697
1.325,-2.19598523379696
1.375,-2.84804522512493
1.425,-2.19907522078891
1.475,-2.47092397040526
1.525,-2.52092397040527
1.575,-3.04804522512493
1.625,-3.09804522512493
1.675,-3.14804522512493
1.725,-3.19804522512493
1.775,-2.94701522946095
1.825,-3.29804522512493
1.875,-2.87092397040527
1.925,-3.39804522512493
1.975,-2.97092397040526
2.025,-3.02092397040526
2.075,-3.24701522946094
2.125,-3.29701522946095
2.175,-3.64804522512493
2.225,-3.39701522946095
2.275,-3.44701522946094
2.375,-3.14907522078891
2.425,-3.42092397040526
2.475,-3.64701522946095
2.575,-4.04804522512493
2.625,-3.79701522946095
2.675,-3.84701522946094
2.725,-3.89701522946095
2.775,-4.24804522512493
2.925,-4.39804522512493
3.025,-4.49804522512493
3.075,-4.24701522946094
3.175,-4.34701522946095
3.525,-4.99804522512493
3.575,-5.04804522512493
