Row,Human,Natural,F_Human,F_Natur
1990,254.172350572,231.05966843,0.523816113979388,0.476183886020612
1991,99.960019931,36.875100516,0.730514356288503,0.269485643711497
1992,231.188641482,69.076272036,0.769948905362667,0.230051094637333
1993,199.281558488,92.203434883,0.68367690625622,0.31632309374378
1994,185.362647432,382.677034087,0.326319891836289,0.673680108163711
1995,445.297050524,16.32886151,0.964627502303646,0.035372497696354
1996,655.621721374,298.305352387,0.687287046785572,0.312712953214428
1997,391.894140233,56.853350057,0.87330658936887,0.12669341063113
1998,340.299778817,20.809820161,0.942372564396252,0.0576274356037481
1999,830.136135692,681.523120476,0.549155593302398,0.450844406697602
2000,161.730717312,34.412864485,0.824552686507908,0.175447313492092
2001,179.367568962,312.55818219,0.364623255729049,0.635376744270951
2002,359.33965343,2120.792681556,0.144887290230837,0.855112709769163
2003,225.013512309,611.735323055,0.268914043018793,0.731085956981207
2004,327.872768822,59.930541744,0.845461500427804,0.154538499572196
2005,272.351815522,168.096071642,0.618351962761466,0.381648037238534
2006,682.738071228,1039.595444015,0.396402941233872,0.603597058766127
2007,1360.293022329,218.238018846,0.861746134125084,0.138253865874916
2008,415.106914409,2479.268139255,0.143418495085326,0.856581504914674
2009,629.531870812,181.311657675,0.776391311880703,0.223608688119297
2010,84.123008968,127.370522713,0.397756887879126,0.602243112120874
2011,233.358376197,235.663596799,0.497542523874442,0.502457476125558
2012,421.036559589,2037.806962772,0.171233572108207,0.828766427891793
2013,353.549118857,224.625252442,0.611492200981984,0.388507799018017
2014,158.80116949,309.546004957,0.339067209442449,0.660932790557551
2015,209.266254538,1110.552105171,0.158556859736472,0.841443140263528
2016,267.00279065,57.766489148,0.822130685562595,0.177869314437405
2017,963.157520877,1596.172755369,0.376331859086882,0.623668140913118
2018,472.097951341,263.490332019,0.641796453288467,0.358203546711533
2019,203.623495842,206.958581006,0.495938588954487,0.504061411045513
2020,733.157137847,702.816665464,0.510564424056011,0.489435575943989
2021,200.967110037,480.848861667,0.294752716828767,0.705247283171233
2022,222.96727425,87.338664908,0.718540144139718,0.281459855860282
2023,568.499231326,285.259600961,0.665878008902276,0.334121991097724
2024,475.808171822,351.797577292,0.574921298373507,0.425078701626493
