Row,Human,Natural,F_Human,F_Natur
1990,795.477613421,223.805813862,0.780428281406894,0.219571718593107
1991,24.779007156,0,1,0
1992,606.776049972,0,1,0
1993,1021.308214562,0,1,0
1994,709.820234154,110.555898921,0.865237548407698,0.134762451592302
1995,320.044386092,20.85778056,0.938815934305011,0.0611840656949888
1996,1456.654860597,274.89269533,0.841244501550618,0.158755498449382
1997,422.207923204,10.641953513,0.975414216139519,0.024585783860481
1998,274.037301241,34.019750307,0.889566721047127,0.110433278952873
1999,718.360754278,1009.124461858,0.415841911449068,0.584158088550932
2000,796.232598402,0,1,0
2001,507.502804734,0,1,0
2002,1411.960321163,8.666210636,0.99389972632355,0.00610027367645007
2003,3005.454914566,78.07415425,0.974680260017792,0.0253197399822077
2004,656.516320971,65.940927924,0.908726878960856,0.0912731210391436
2005,235.340840647,259.490241488,0.475598338793912,0.524401661206088
2006,981.993278071,323.40869036,0.752253560067238,0.247746439932762
2007,2395.586975236,201.441601727,0.922433813969591,0.0775661860304088
2008,915.70739053,1785.545308627,0.338993605009917,0.661006394990083
2009,907.605934677,45.273522025,0.952487671230005,0.0475123287699954
2010,194.266043626,3.199674802,0.983796302327957,0.0162036976720426
2011,136.313726416,213.962313157,0.389160864620291,0.610839135379709
2012,538.137162623,437.429904824,0.551614728069155,0.448385271930845
2013,1724.67557692,1.359556531,0.999212323952942,0.000787676047058052
2014,776.236152824,1000.030400129,0.437004317585965,0.562995682414035
2015,1229.420557038,644.622611382,0.656025740364626,0.343974259635374
2016,1868.23787612,17.58875247,0.990673186917956,0.00932681308204392
2017,3009.535705225,199.8209557,0.937738002717838,0.0622619972821617
2018,5506.000157362,160.201688888,0.971726794555682,0.028273205444318
2019,703.998446981,17.87993674,0.975231372564675,0.024768627435325
2020,4488.402812255,11000.690957771,0.289778271014203,0.710221728985797
2021,5493.474078122,3992.88554501,0.579091906312138,0.420908093687863
2022,994.918554779,0,1,0
2023,453.079590482,77.32026631,0.854222686300005,0.145777313699995
2024,3145.497613545,100.13966767,0.969146377431149,0.0308536225688512
