x_fit,y_fit
0.21,3.16389475171118
11.4525252525253,0.00407059116294888
22.6950505050505,0.00130399405426507
33.9375757575758,0.000667450625959929
45.180101010101,0.000414560534704724
56.4226262626263,0.000286392391810312
67.6651515151515,0.000211650514346966
78.9076767676768,0.000163874902331806
90.150202020202,0.000131289537700187
101.392727272727,0.000107963775159293
112.635252525253,9.06292120637936e-05
123.877777777778,7.73563565228053e-05
135.120303030303,6.69425377060472e-05
146.362828282828,5.8604359362579e-05
157.605353535354,5.18125831186856e-05
168.847878787879,4.61985273904408e-05
180.090404040404,4.14985396699743e-05
191.332929292929,3.75197591049411e-05
202.575454545455,3.41182935733969e-05
213.81797979798,3.11849021473289e-05
225.060505050505,2.86353604020364e-05
236.30303030303,2.64038297319513e-05
247.545555555556,2.44382017654551e-05
258.788080808081,2.26967702844606e-05
270.030606060606,2.11458132225332e-05
281.273131313131,1.97578098383289e-05
292.515656565657,1.85101084676989e-05
303.758181818182,1.73839186855738e-05
315.000707070707,1.63635402371262e-05
326.243232323232,1.54357669503019e-05
337.485757575758,1.45894214686725e-05
348.728282828283,1.38149888405574e-05
359.970808080808,1.31043255560901e-05
371.213333333333,1.24504267019057e-05
382.455858585859,1.18472382721231e-05
393.698383838384,1.12895048495248e-05
404.940909090909,1.07726452023278e-05
416.183434343434,1.02926500704562e-05
427.42595959596,9.84599770836004e-06
438.668484848485,9.42958372710671e-06
449.91101010101,9.04066252056816e-06
461.153535353535,8.67679812924842e-06
472.396060606061,8.33582283428555e-06
483.638585858586,8.01580211532008e-06
494.881111111111,7.71500487276434e-06
506.123636363636,7.43187802500221e-06
517.366161616162,7.16502475727289e-06
528.608686868687,6.91318583129936e-06
539.851212121212,6.67522347059091e-06
551.093737373737,6.45010742149146e-06
562.336262626263,6.23690285884939e-06
573.578787878788,6.03475986104254e-06
584.821313131313,5.84290422464083e-06
596.063838383838,5.66062942628847e-06
607.306363636364,5.48728957005618e-06
618.548888888889,5.32229318382868e-06
629.791414141414,5.16509774926697e-06
641.033939393939,5.01520486732514e-06
652.276464646465,4.87215597585404e-06
663.51898989899,4.73552854800696e-06
674.761515151515,4.60493271039542e-06
686.00404040404,4.48000822856373e-06
697.246565656566,4.36042181463599e-06
708.489090909091,4.24586471816294e-06
719.731616161616,4.13605056644272e-06
730.974141414141,4.03071342506045e-06
742.216666666667,3.92960605321141e-06
753.459191919192,3.83249833164417e-06
764.701717171717,3.73917584386941e-06
775.944242424242,3.64943859369774e-06
787.186767676768,3.5630998442557e-06
798.429292929293,3.47998506543213e-06
809.671818181818,3.3999309782696e-06
820.914343434343,3.32278468617209e-06
832.156868686869,3.24840288398031e-06
843.399393939394,3.176651136995e-06
854.641919191919,3.10740322292709e-06
865.884444444445,3.04054053054012e-06
877.12696969697,2.97595150943955e-06
888.369494949495,2.91353116606928e-06
899.61202020202,2.85318060150797e-06
910.854545454545,2.79480658712749e-06
922.097070707071,2.73832117458987e-06
933.339595959596,2.68364133702532e-06
944.582121212121,2.63068863855853e-06
955.824646464647,2.57938892963753e-06
967.067171717172,2.52967206587522e-06
978.309696969697,2.48147164834059e-06
989.552222222222,2.43472478343898e-06
1000.79474747475,2.38937186070118e-06
1012.03727272727,2.34535634696222e-06
1023.2797979798,2.30262459555493e-06
1034.52232323232,2.26112566927206e-06
1045.76484848485,2.22081117596682e-06
1057.00737373737,2.18163511576495e-06
1068.2498989899,2.1435537389553e-06
1079.49242424242,2.10652541370931e-06
1090.73494949495,2.07051050285575e-06
1101.97747474747,2.03547124900498e-06
1113.22,2.00137166737876e-06
