x_fit,y_fit
0.214658673296478,1.83774038455655
36.4225898387296,0.00142923922393692
72.6305210041627,0.000545895851961866
108.838452169596,0.000310563036608902
145.046383335029,0.000208076491028479
181.254314500462,0.000152497439460981
217.462245665895,0.000118294591948322
253.670176831328,9.54319671339756e-05
289.878107996761,7.92298672773e-05
326.086039162195,6.72368311618523e-05
362.293970327628,5.80549003397223e-05
398.501901493061,5.08334923724258e-05
434.709832658494,4.50278779345839e-05
470.917763823927,4.02744095739929e-05
507.12569498936,3.63218350177752e-05
543.333626154793,3.29914610289482e-05
579.541557320226,3.01530199316158e-05
615.74948848566,2.77094974664219e-05
651.957419651093,2.55872855799152e-05
688.165350816526,2.37296116272029e-05
724.373281981959,2.20920458061447e-05
760.581213147392,2.06393625969065e-05
796.789144312825,1.93433055785582e-05
832.997075478258,1.81809679078631e-05
869.205006643691,1.71336004703293e-05
905.412937809124,1.61857222909751e-05
941.620868974558,1.53244479478751e-05
977.828800139991,1.45389730274556e-05
1014.03673130542,1.3820176201792e-05
1050.24466247086,1.3160308409248e-05
1086.45259363629,1.25527478207812e-05
1122.66052480172,1.19918050071523e-05
1158.86845596716,1.14725667833946e-05
1195.07638713259,1.09907701193915e-05
1231.28431829802,1.05426996182039e-05
1267.49224946346,1.01251036129395e-05
1303.70018062889,9.73512508022478e-06
1339.90811179432,9.37024442599374e-06
1376.11604295975,9.02823184610659e-06
1412.32397412519,8.7071074561569e-06
1448.53190529062,8.40510776176571e-06
1484.73983645605,8.12065733167707e-06
1520.94776762149,7.85234476221887e-06
1557.15569878692,7.59890219875447e-06
1593.36362995235,7.35918781918925e-06
1629.57156111779,7.13217079506049e-06
1665.77949228322,6.91691833374699e-06
1701.98742344865,6.71258447583003e-06
1738.19535461409,6.51840037839579e-06
1774.40328577952,6.33366586099246e-06
1810.61121694495,6.15774202828601e-06
1846.81914811039,5.99004481394142e-06
1883.02707927582,5.83003931525346e-06
1919.23501044125,5.67723480863576e-06
1955.44294160668,5.53118035309352e-06
1991.65087277212,5.39146090292713e-06
2027.85880393755,5.25769386267465e-06
2064.06673510298,5.12952602713169e-06
2100.27466626842,5.00663085753011e-06
2136.48259743385,4.88870605189294e-06
2172.69052859928,4.77547137343598e-06
2208.89845976472,4.66666670584179e-06
2245.10639093015,4.56205030843829e-06
2281.31432209558,4.46139724789567e-06
2317.52225326102,4.364497986113e-06
2353.73018442645,4.27115710658276e-06
2389.93811559188,4.1811921637671e-06
2426.14604675732,4.09443264195154e-06
2462.35397792275,4.01071901170758e-06
2498.56190908818,3.92990187353495e-06
2534.76984025361,3.8518411795017e-06
2570.97777141905,3.77640552478217e-06
2607.18570258448,3.70347150193515e-06
2643.39363374991,3.63292311158471e-06
2679.60156491535,3.56465122388359e-06
2715.80949608078,3.49855308576599e-06
2752.01742724621,3.43453186954675e-06
2788.22535841165,3.37249625890704e-06
2824.43328957708,3.31236006873157e-06
2860.64122074251,3.2540418956371e-06
2896.84915190795,3.19746479636275e-06
2933.05708307338,3.14255599148507e-06
2969.26501423881,3.08924659217982e-06
3005.47294540425,3.0374713479825e-06
3041.68087656968,2.98716841370349e-06
3077.88880773511,2.93827913383561e-06
3114.09673890055,2.89074784295359e-06
3150.30467006598,2.84452168074949e-06
3186.51260123141,2.79955042047713e-06
3222.72053239684,2.75578630969399e-06
3258.92846356228,2.71318392229255e-06
3295.13639472771,2.67170002090574e-06
3331.34432589314,2.63129342885464e-06
3367.55225705858,2.5919249108813e-06
3403.76018822401,2.55355706197718e-06
3439.96811938944,2.51615420367839e-06
3476.17605055488,2.47968228725389e-06
3512.38398172031,2.44410880326217e-06
3548.59191288574,2.40940269699715e-06
3584.79984405118,2.37553428938396e-06
