x_fit,y_fit
0.214658673296478,5.13826275494667
16.9190063407315,0.000527549002516924
33.6233540081664,0.000124456385102911
50.3277016756014,5.3290247402225e-05
67.0320493430364,2.91661680806078e-05
83.7363970104714,1.82669229393438e-05
100.440744677906,1.24606212687644e-05
117.145092345341,9.01636142361718e-06
133.849440012776,6.81216333237774e-06
150.553787680211,5.31955685774331e-06
167.258135347646,4.2636243284567e-06
183.962483015081,3.49009951582489e-06
200.666830682516,2.9070889004772e-06
217.371178349951,2.45713891405612e-06
234.075526017386,2.10286128362396e-06
250.779873684821,1.81909183167941e-06
267.484221352256,1.58839987962714e-06
284.188569019691,1.39840807190216e-06
300.892916687126,1.24013490204067e-06
317.597264354561,1.10693755220173e-06
334.301612021996,9.93819094620833e-07
351.005959689431,8.96963449796247e-07
367.710307356866,8.13416478211611e-07
384.414655024301,7.40863047504771e-07
401.119002691736,6.77468468909661e-07
417.823350359171,6.21763931499895e-07
434.527698026606,5.72562532397944e-07
451.232045694041,5.28896920463662e-07
467.936393361476,4.89972429637449e-07
484.640741028911,4.55131461277897e-07
501.345088696346,4.23826136344202e-07
518.049436363781,3.95597096501869e-07
534.753784031216,3.70056925501623e-07
551.458131698651,3.46877076368724e-07
568.162479366086,3.25777483184294e-07
584.866827033521,3.06518246259808e-07
601.571174700956,2.88892931547324e-07
618.275522368391,2.7272313631208e-07
634.979870035826,2.57854055173567e-07
651.684217703261,2.44150841756971e-07
668.388565370696,2.31495607116987e-07
685.092913038131,2.19784930861907e-07
701.797260705566,2.08927787425181e-07
718.501608373001,1.98843810304553e-07
735.205956040435,1.89461832845903e-07
751.910303707871,1.8071865641401e-07
768.614651375305,1.72558006397878e-07
785.31899904274,1.64929644064428e-07
802.023346710176,1.57788608267296e-07
818.727694377611,1.51094565789408e-07
835.432042045045,1.44811252916874e-07
852.13638971248,1.38905993912765e-07
868.840737379915,1.33349284540269e-07
885.54508504735,1.28114430797968e-07
902.249432714785,1.23177234670553e-07
918.95378038222,1.18515720040702e-07
935.658128049655,1.14109893010563e-07
952.36247571709,1.09941531790534e-07
969.066823384525,1.05994002065473e-07
985.77117105196,1.02252094373344e-07
1002.4755187194,9.87018805519421e-08
1019.17986638683,9.53305867445873e-08
1035.88421405427,9.21264808206668e-08
1052.5885617217,8.90787723738643e-08
1069.29290938914,8.61775237198909e-08
1085.99725705657,8.34135705345913e-08
1102.70160472401,8.07784509591244e-08
1119.40595239144,7.82643421569633e-08
1136.11030005888,7.586400344222e-08
1152.81464772631,7.35707252139974e-08
1169.51899539374,7.13782830301749e-08
1186.22334306118,6.92808962388091e-08
1202.92769072861,6.72731906583047e-08
1219.63203839605,6.53501648604638e-08
1236.33638606348,6.35071596649483e-08
1253.04073373092,6.17398305008401e-08
1269.74508139835,6.00441223319126e-08
1286.44942906579,5.84162468778296e-08
1303.15377673322,5.68526618945059e-08
1319.85812440066,5.53500523039515e-08
1336.56247206809,5.39053129876073e-08
1353.26681973553,5.25155330779354e-08
1369.97116740296,5.11779816012433e-08
1386.6755150704,4.98900943407317e-08
1403.37986273783,4.86494618028596e-08
1420.08421040527,4.74538181825546e-08
1436.7885580727,4.6301031233781e-08
1453.49290574014,4.51890929616944e-08
1470.19725340757,4.41161110612255e-08
1486.90160107501,4.30803010345667e-08
1503.60594874244,4.20799789268275e-08
1520.31029640988,4.11135546251587e-08
1537.01464407731,4.01795256720257e-08
1553.71899174475,3.92764715481076e-08
1570.42333941218,3.84030483845856e-08
1587.12768707962,3.75579840684156e-08
1603.83203474705,3.67400737076121e-08
1620.53638241449,3.59481754266457e-08
1637.24073008192,3.51812064648191e-08
1653.94507774936,3.4438139552964e-08
